"Genename"	"padj"	"pvalue"	"lfcSE"	"stat"	"log2FoldChange"	"baseMean"
"EDIL3"	2.53346097781514e-162	1.27274837524705e-164	0.153528130702838	27.3439995300488	4.19807313378768	444.830760119868
"ETS2"	1.52557672040818e-160	7.74742723737022e-163	0.0438580040135787	27.1935246468753	1.19265371310601	7947.17935960255
"PDK4"	1.05195209264865e-159	5.3996339599723e-162	0.0540545304264814	-27.1221296263206	-1.46607398111692	6116.89290728
"PPP1R13L"	8.11287625255447e-159	4.20861270131969e-161	0.0751115074774328	27.0464178251053	2.03149721470817	1243.85439611881
"ATOSB"	1.20257835211316e-157	6.30412940549684e-160	0.0618297504852695	26.9462947486001	1.66608268080847	2131.94905357763
"NPTXR"	1.84240424226099e-157	9.75881676947067e-160	0.0532053343887646	26.9300959428256	1.43282475975955	2508.63987541489
"ANXA10"	3.30429998194949e-157	1.76825969656009e-159	0.0811607643364098	26.9080449266003	2.18387749304133	963.816819941792
"ARHGEF40"	8.22460901146972e-156	4.446220128518e-158	0.0602080565456649	26.7881037927844	1.6128596679071	2896.2001743341
"IER3"	3.9652238712502e-155	2.16525084434566e-157	0.0553161577641462	26.7290249409166	1.47854696051354	5815.50468470953
"MUC13"	4.95434136269516e-155	2.7324222007984e-157	0.0569237632387402	-26.7203315580099	-1.52102182726879	2577.16882094644
"CLDN4"	7.20835472966236e-154	4.01491936015705e-156	0.0872361002416358	26.6197072787776	2.32219945257445	1289.8907537562
"FAM83G"	3.76654835170612e-153	2.11846491686633e-155	0.0540156569517708	26.5572397310381	1.43450675089769	3797.63747677959
"PCED1B"	2.51145887126332e-151	1.42626397974873e-153	0.0438427494879436	26.3984822698966	1.15738204502099	7227.27276865831
"NXPH4"	2.65205160772527e-150	1.52058875558976e-152	0.107141422007175	26.3088084789963	2.81876315175409	657.213150988443
"RND1"	8.48289753558478e-150	4.91010287103144e-152	0.061013996522596	26.2642796820187	1.60248866918718	3384.28526320873
"SKIL"	3.30168023620594e-146	1.92912021664411e-148	0.0654659637168803	25.9477233953527	1.69869271833581	6322.97018002179
"DLC1"	1.24483133487757e-143	7.34133043011944e-146	0.0766905035618864	25.7180641682447	1.97233129169959	1086.47339370526
"SEMA4G"	7.64249031844806e-143	4.54885297171866e-145	0.0576346912619206	-25.6471528603253	-1.47816573685213	2308.64640915548
"NRG1"	8.81310833492637e-142	5.29373623568995e-144	0.0459104259319874	25.5514273071535	1.17307691084163	7990.86952057315
"RASGRP1"	1.09475862946788e-141	6.63562539567162e-144	0.126094774545287	25.5425971532813	3.22078802934409	425.364230084614
